x,y,z,yaw
-3.0,0.0,2.0,1.5707963267948966
-3.0,0.25,2.0,1.5707963267948966
-3.0,0.5,2.0,1.5707963267948966
-3.0,0.7500000000000001,2.0,1.5707963267948966
-3.0,1.0,2.0,1.5707963267948966
-3.0,1.25,2.0,1.5707963267948966
-3.0,1.5000000000000002,2.0,1.5707963267948966
-3.0,1.7500000000000002,2.0,1.5707963267948966
-3.0,2.0,2.0,1.5707963267948966
-3.0,2.25,2.0,1.5707963267948966
-3.0,2.5,2.0,1.5707963267948966
-3.0,2.75,2.0,1.5707963267948966
-3.0,3.0000000000000004,2.0,1.5707963267948966
-3.0,3.25,2.0,1.5707963267948966
-3.0,3.5000000000000004,2.0,1.5707963267948966
-3.0,3.75,2.0,1.5707963267948966
-3.0,4.0,2.0,1.5707963267948966
-3.0,4.25,2.0,1.5707963267948966
-3.0,4.5,2.0,1.5707963267948966
-3.0,4.75,2.0,1.5707963267948966
-3.0,5.0,2.0,1.5707963267948966
-3.0,5.25,2.0,1.5707963267948966
-3.0,5.5,2.0,1.5707963267948966
-3.0,5.750000000000001,2.0,1.5707963267948966
-3.0,6.000000000000001,2.0,1.5707963267948966
-3.0,6.25,2.0,1.5707963267948966
-3.0,6.5,2.0,1.5707963267948966
-3.0,6.75,2.0,1.5707963267948966
-3.0,7.000000000000001,2.0,1.5707963267948966
-3.0,7.250000000000001,2.0,1.5707963267948966
-3.0,7.5,2.0,1.5707963267948966
-3.0,7.75,2.0,1.5707963267948966
-3.0,8.0,2.0,1.5707963267948966
-3.0,8.25,2.0,1.5707963267948966
-3.0,8.5,2.0,1.5707963267948966
-3.0,8.75,2.0,1.5707963267948966
-3.0,9.0,2.0,1.5707963267948966
-3.0,9.25,2.0,1.5707963267948966
-3.0,9.5,2.0,1.5707963267948966
-3.0,9.75,2.0,1.5707963267948966
-3.0,10.0,2.0,1.5707963267948966
-3.0,10.250000000000002,2.0,1.5707963267948966
-3.0,10.5,2.0,1.5707963267948966
-3.0,10.75,2.0,1.5707963267948966
-3.0,11.0,2.0,1.5707963267948966
-3.0,11.25,2.0,1.5707963267948966
-3.0,11.500000000000002,2.0,1.5707963267948966
-3.0,11.75,2.0,1.5707963267948966
-3.0,12.000000000000002,2.0,1.5707963267948966
-3.0,12.25,2.0,1.5707963267948966
-3.0,12.5,2.0,1.5707963267948966
-3.0,12.750000000000002,2.0,1.5707963267948966
-3.0,13.0,2.0,1.5707963267948966
-3.0,13.250000000000002,2.0,1.5707963267948966
-3.0,13.5,2.0,1.5707963267948966
-3.0,13.75,2.0,1.5707963267948966
-3.0,14.000000000000002,2.0,1.5707963267948966
-3.0,14.25,2.0,1.5707963267948966
-3.0,14.500000000000002,2.0,1.5707963267948966
-3.0,14.75,2.0,1.5707963267948966
-3.0,15.0,2.0,1.5707963267948966
-3.0,15.250000000000002,2.0,1.5707963267948966
-3.0,15.5,2.0,1.5707963267948966
-3.0,15.750000000000002,2.0,1.5707963267948966
-3.0,16.0,2.0,1.5707963267948966
-3.0,16.25,2.0,1.5707963267948966
-3.0,16.5,2.0,1.5707963267948966
-3.0,16.75,2.0,1.5707963267948966
-3.0,17.0,2.0,1.5707963267948966
-3.0,17.25,2.0,1.5707963267948966
-3.0,17.5,2.0,1.5707963267948966
-3.0,17.75,2.0,1.5707963267948966
-3.0,18.0,2.0,1.5707963267948966
-3.0,18.25,2.0,1.5707963267948966
-3.0,18.5,2.0,1.5707963267948966
-3.0,18.75,2.0,1.5707963267948966
-3.0,19.0,2.0,1.5707963267948966
-3.0,19.25,2.0,1.5707963267948966
-3.0,19.5,2.0,1.5707963267948966
-3.0,19.75,2.0,1.5707963267948966
-3.0,20.0,2.0,1.5707963267948966
-3.0,20.25,2.0,1.5707963267948966
-3.0,20.500000000000004,2.0,1.5707963267948966
-3.0,20.75,2.0,1.5707963267948966
-3.0,21.0,2.0,1.5707963267948966
-3.0,21.25,2.0,1.5707963267948966
-3.0,21.5,2.0,1.5707963267948966
-3.0,21.750000000000004,2.0,1.5707963267948966
-3.0,22.0,2.0,1.5707963267948966
-3.0,22.25,2.0,1.5707963267948966
-3.0,22.5,2.0,1.5707963267948966
-3.0,22.75,2.0,1.5707963267948966
-3.0,23.000000000000004,2.0,1.5707963267948966
-3.0,23.25,2.0,1.5707963267948966
